ccodecow,year,wdi_fossil,edgar_pm25,renew_output,wdi_co2,env_index_gls
2,1970,1.254955535389938,2.623825167576746,-.8278775307067018,2.102772670286249,-3.168116839343873
2,1971,1.247315804510142,2.544069113989306,-.7395862465649693,2.096128757049345,-3.057758103694312
2,1972,1.239618135851722,2.559576715316783,-.8022447017840336,2.134535567211619,-3.120381742563991
2,1973,1.22879416617189,2.581268545849209,-.767833911894373,2.171357439153069,-3.131087714399961
2,1974,1.205990497406466,2.571884896922523,-.8071571269587089,2.12239775707548,-3.127899510591961
2,1975,1.176580608047399,2.561820071562244,-.7917045850040225,2.06634576772845,-3.090055658525648
2,1976,1.17401505608083,2.574757444178356,-.7622175316620569,2.105113761290282,-3.097918954155306
2,1977,1.157808022594843,2.600814504581908,-.8277495814614558,2.123864657990412,-3.162083442605527
2,1978,1.138956356340325,2.5987218182952,-.7519693160431521,2.145504803052616,-3.126087361538256
2,1979,1.140598974907777,2.620165952439753,-.75669904447543,2.13609660714734,-3.140373313345668
2,1980,1.130128282026169,2.602755027299959,-.7951927857647269,2.086234843923665,-3.130331414050139
2,1981,1.113620824390405,2.628533980729639,-.8507801636144869,2.032658024603145,-3.15969779139371
2,1982,1.091703713589653,2.601100590598935,-.8715214899049218,1.967487373011669,-3.126407100092804
2,1983,1.07536496275795,2.606097116716571,-.7542635135477544,1.966405633060966,-3.062523547508749
2,1984,1.059971656107416,2.647148930865904,-.7543110639860552,1.989309456320424,-3.101438907721196
2,1985,1.043318403500072,2.654421407003339,-.7836794521539509,1.984013280429436,-3.12176956820918
2,1986,1.025396421831867,2.335887714027364,-.740319418629485,1.974892488222269,-2.865418327288616
2,1987,1.017649606966757,2.336577667137804,-.7793790886009306,2.01001793132784,-2.9025564370158
2,1988,1.009298270238044,2.344488844423445,-.7593637322821011,2.045694943168272,-2.911152643579856
2,1989,1.009744169871004,2.343221893740602,-.7128956362521345,2.049166248413869,-2.88491863417827
2,1990,.9915328712269819,2.501417569845204,-.6882248862525137,2.008501990213328,-2.968213491325103
2,1991,.9708862210938545,2.500041733756014,-.7112981414309395,1.993743690240852,-2.975038105746508
2,1992,.9675544323549602,2.502950776138746,-.7358705915623774,1.998374704101517,-2.993164510762418
2,1993,.9826453559335714,2.445315276052569,-.719103700963263,2.00983933927123,-2.94649627362748
2,1994,.976926320049732,2.450103293166538,-.7408097758828598,2.010597621754681,-2.962826179075426
2,1995,.9646235503275515,2.436532039999073,-.7100939813152801,2.005957953710703,-2.933865773443973
2,1996,.9657550823356952,2.444884675077955,-.6873933639319812,2.017990958482422,-2.931586105716878
2,1997,.9920512211385529,2.438745734109867,-.7050105599355007,2.028538525991052,-2.940957406969259
2,1998,.9817737443880648,2.439655041059574,-.745027484982566,2.02251938682538,-2.962422723255399
2,1999,.9733830220989258,2.471574165202103,-.7606304728994269,2.030524997845746,-2.997632973364624
2,2000,.9760567072249215,2.48061647341988,-.7665509213156808,2.054614130721869,-3.017077065036454
2,2001,.9889806621663807,2.443844920082431,-.8074935421788783,2.025625375207817,-3.002406035237727
2,2002,.9862884432221314,2.409439445060054,-.7550288768565496,2.024373526830575,-2.947168745790483
2,2003,.9871025573774505,2.443431968555774,-.74646424753681,2.021697273947379,-2.965510364928404
2,2004,.9828217339121424,2.456306926016184,-.7546644619374455,2.026809014979273,-2.98157991063397
2,2005,.9798827631069633,2.46717458597304,-.7574705445580364,2.023206152465157,-2.989601732106618
2,2006,.9689895055338257,2.457871714571253,-.7377799115335224,1.995853938645244,-2.960932010617328
2,2007,.968662556161324,2.457874728177124,-.763567521511588,2.002720542052704,-2.978503251788401
2,2008,.9507003572397297,2.436882207743634,-.7454163503780039,1.960118792226852,-2.936405904632941
2,2009,.9280846911905887,2.388199153698396,-.7085881168691994,1.882602793717167,-2.84989415508287
2,2010,.9279828430800094,2.42842372776952,-.7134840700442713,1.900031885936176,-2.888486105739273
2,2011,.9158539427090467,2.419463736072279,-.6524587731589189,1.867573265606312,-2.834295585820729
2,2012,.908161114362726,2.426158788690118,-.660511997664507,1.82161203328142,-2.825526970030024
2,2013,.8943614608180432,2.437848873026629,-.6423805491996237,1.832531149650892,-2.82814105300249
2,2014,.8984883636308419,2.448384797503814,-.6320511741292104,1.836024511643845,-2.831058739836334
2,2015,.8801168804417486,2.409958165710292,-.6245845647375825,1.808300310266707,-2.78856418057224
20,1970,.9421988671031337,1.41277419122893,.7445986069297172,1.80989658356058,-1.286723083698529
20,1971,.9280819289521817,1.405753580332498,.7438553824398786,1.812598682231906,-1.283505361257506
20,1972,.9244744904786834,1.407657384711097,.7439526961720034,1.882376754588204,-1.312763182279578
20,1973,.8902726719504047,1.425970734580108,.6326902860968642,1.870808541753556,-1.385937926596906
20,1974,.8739397295759179,1.415654249446637,.7326199641049186,1.878920011704176,-1.324714971166127
20,1975,.9253113732443692,1.352972264745174,.7700132342562442,1.882754889478958,-1.258747129187082
20,1976,.9044695445420586,1.380265108204221,.7270747425660837,1.874627009568949,-1.300176711019032
20,1977,.8825610134670036,1.391424713783276,.6816985043775076,1.885375255118063,-1.33901320880579
20,1978,.8467604396924783,1.415101777036867,.7067110945825201,1.894717808612078,-1.346105345605989
20,1979,.8523765329513497,1.429344641843828,.712789334913835,1.9488251957361,-1.374306442540638
20,1980,.8283309348989931,1.462588577690764,.6100218865968203,1.937954326829216,-1.453353942592932
20,1981,.7991533787851701,1.45439521123244,.7249565520707347,1.892847280462911,-1.364048950463436
20,1982,.7867254214859476,1.426798068066043,.7870700852984969,1.842334935245491,-1.288677736660938
